"","fips","familyCode","ageAdjustment","marriedUnder6","marriedOver6","marriedBoth","unmarriedUnder6","unmarriedOver6","unmarriedBoth"
"200",41017,"a2i0p0s0t2",0.213,0.207,0.574,0.219,0.793,0.426,0.781
"201",41019,"a1i2p0s0t0",0.25,0.17,0.613,0.217,0.83,0.387,0.783
"202",41019,"a1i1p1s0t0",0.5,0.17,0.613,0.217,0.83,0.387,0.783
"203",41019,"a1i1p0s1t0",0.2692,0.17,0.613,0.217,0.83,0.387,0.783
"204",41019,"a1i1p0s0t1",0.2308,0.17,0.613,0.217,0.83,0.387,0.783
"205",41019,"a1i0p2s0t0",0.25,0.17,0.613,0.217,0.83,0.387,0.783
"206",41019,"a1i0p1s1t0",0.2692,0.17,0.613,0.217,0.83,0.387,0.783
"207",41019,"a1i0p1s0t1",0.2308,0.17,0.613,0.217,0.83,0.387,0.783
"208",41019,"a1i0p0s2t0",0.2899,0.17,0.613,0.217,0.83,0.387,0.783
"209",41019,"a1i0p0s1t1",0.497,0.17,0.613,0.217,0.83,0.387,0.783
"210",41019,"a1i0p0s0t2",0.213,0.17,0.613,0.217,0.83,0.387,0.783
"211",41019,"a2i2p0s0t0",0.25,0.17,0.613,0.217,0.83,0.387,0.783
"212",41019,"a2i1p1s0t0",0.5,0.17,0.613,0.217,0.83,0.387,0.783
"213",41019,"a2i1p0s1t0",0.2692,0.17,0.613,0.217,0.83,0.387,0.783
"214",41019,"a2i1p0s0t1",0.2308,0.17,0.613,0.217,0.83,0.387,0.783
"215",41019,"a2i0p2s0t0",0.25,0.17,0.613,0.217,0.83,0.387,0.783
"216",41019,"a2i0p1s1t0",0.2692,0.17,0.613,0.217,0.83,0.387,0.783
"217",41019,"a2i0p1s0t1",0.2308,0.17,0.613,0.217,0.83,0.387,0.783
"218",41019,"a2i0p0s2t0",0.2899,0.17,0.613,0.217,0.83,0.387,0.783
"219",41019,"a2i0p0s1t1",0.497,0.17,0.613,0.217,0.83,0.387,0.783
"220",41019,"a2i0p0s0t2",0.213,0.17,0.613,0.217,0.83,0.387,0.783
"221",41021,"a1i2p0s0t0",0.25,0.15,0.758,0.092,0.85,0.242,0.908
"222",41021,"a1i1p1s0t0",0.5,0.15,0.758,0.092,0.85,0.242,0.908
"223",41021,"a1i1p0s1t0",0.2692,0.15,0.758,0.092,0.85,0.242,0.908
"224",41021,"a1i1p0s0t1",0.2308,0.15,0.758,0.092,0.85,0.242,0.908
"225",41021,"a1i0p2s0t0",0.25,0.15,0.758,0.092,0.85,0.242,0.908
"226",41021,"a1i0p1s1t0",0.2692,0.15,0.758,0.092,0.85,0.242,0.908
"227",41021,"a1i0p1s0t1",0.2308,0.15,0.758,0.092,0.85,0.242,0.908
"228",41021,"a1i0p0s2t0",0.2899,0.15,0.758,0.092,0.85,0.242,0.908
"229",41021,"a1i0p0s1t1",0.497,0.15,0.758,0.092,0.85,0.242,0.908
"230",41021,"a1i0p0s0t2",0.213,0.15,0.758,0.092,0.85,0.242,0.908
"231",41021,"a2i2p0s0t0",0.25,0.15,0.758,0.092,0.85,0.242,0.908
"232",41021,"a2i1p1s0t0",0.5,0.15,0.758,0.092,0.85,0.242,0.908
"233",41021,"a2i1p0s1t0",0.2692,0.15,0.758,0.092,0.85,0.242,0.908
"234",41021,"a2i1p0s0t1",0.2308,0.15,0.758,0.092,0.85,0.242,0.908
"235",41021,"a2i0p2s0t0",0.25,0.15,0.758,0.092,0.85,0.242,0.908
"236",41021,"a2i0p1s1t0",0.2692,0.15,0.758,0.092,0.85,0.242,0.908
"237",41021,"a2i0p1s0t1",0.2308,0.15,0.758,0.092,0.85,0.242,0.908
"238",41021,"a2i0p0s2t0",0.2899,0.15,0.758,0.092,0.85,0.242,0.908
"239",41021,"a2i0p0s1t1",0.497,0.15,0.758,0.092,0.85,0.242,0.908
"240",41021,"a2i0p0s0t2",0.213,0.15,0.758,0.092,0.85,0.242,0.908
"241",41023,"a1i2p0s0t0",0.25,0.15,0.624,0.226,0.85,0.376,0.774
"242",41023,"a1i1p1s0t0",0.5,0.15,0.624,0.226,0.85,0.376,0.774
"243",41023,"a1i1p0s1t0",0.2692,0.15,0.624,0.226,0.85,0.376,0.774
"244",41023,"a1i1p0s0t1",0.2308,0.15,0.624,0.226,0.85,0.376,0.774
"245",41023,"a1i0p2s0t0",0.25,0.15,0.624,0.226,0.85,0.376,0.774
"246",41023,"a1i0p1s1t0",0.2692,0.15,0.624,0.226,0.85,0.376,0.774
"247",41023,"a1i0p1s0t1",0.2308,0.15,0.624,0.226,0.85,0.376,0.774
"248",41023,"a1i0p0s2t0",0.2899,0.15,0.624,0.226,0.85,0.376,0.774
"249",41023,"a1i0p0s1t1",0.497,0.15,0.624,0.226,0.85,0.376,0.774
"250",41023,"a1i0p0s0t2",0.213,0.15,0.624,0.226,0.85,0.376,0.774
"251",41023,"a2i2p0s0t0",0.25,0.15,0.624,0.226,0.85,0.376,0.774
"252",41023,"a2i1p1s0t0",0.5,0.15,0.624,0.226,0.85,0.376,0.774
"253",41023,"a2i1p0s1t0",0.2692,0.15,0.624,0.226,0.85,0.376,0.774
"254",41023,"a2i1p0s0t1",0.2308,0.15,0.624,0.226,0.85,0.376,0.774
"255",41023,"a2i0p2s0t0",0.25,0.15,0.624,0.226,0.85,0.376,0.774
"256",41023,"a2i0p1s1t0",0.2692,0.15,0.624,0.226,0.85,0.376,0.774
"257",41023,"a2i0p1s0t1",0.2308,0.15,0.624,0.226,0.85,0.376,0.774
"258",41023,"a2i0p0s2t0",0.2899,0.15,0.624,0.226,0.85,0.376,0.774
"259",41023,"a2i0p0s1t1",0.497,0.15,0.624,0.226,0.85,0.376,0.774
"260",41023,"a2i0p0s0t2",0.213,0.15,0.624,0.226,0.85,0.376,0.774
